TARGET,AMOUNT GRANTED,LOAN OUTSTANDING,CYCLE,AGE,GENDER,DEPENDANTS,HOME YEARS,BUS YEARS,CASHFLOW,COLLATERAL,CF TO LOAN,MOP_PDC,MOP_WALK-IN,MARITAL STATUS,COLL TO LOAN
1.0,70000.0,26830.56,3.0,47.0,1,3.0,18.0,20.0,141983.17,60000.0,2.03,0,1,1,0.8571428571428571
0.0,25852.95,12860.7,2.0,53.0,0,2.0,53.0,18.0,213750.0,70325.0,8.27,0,1,1,2.720192473199383
1.0,80000.0,48839.28,6.0,32.0,0,2.0,10.0,9.0,157402.36,70325.0,1.97,0,1,1,0.8790625
0.0,24320.81,20882.58,1.0,52.0,0,1.0,11.0,15.0,52257.49,70325.0,2.15,0,1,0,2.8915566545686593
1.0,163155.0,163155.0,7.0,44.0,1,2.0,17.0,11.0,278026.85,500000.0,1.7,1,0,0,3.0645705004443626
0.0,130911.48,116148.69,1.0,27.0,1,3.0,3.0,5.0,352003.13,120000.0,2.69,1,0,1,0.9166499378053018
1.0,80000.0,80000.0,4.0,44.0,0,0.0,5.0,5.0,255401.21,63000.0,3.19,1,0,0,0.7875
0.0,50000.0,21504.2,2.0,57.0,0,2.0,6.0,16.0,84925.97,40000.0,1.7,0,1,1,0.8
1.0,150000.0,115733.04,5.0,45.0,0,2.0,7.0,7.0,320119.0,70000.0,2.13,1,0,0,0.4666666666666667
1.0,250000.0,100479.58,6.0,38.0,0,1.0,12.0,8.0,386759.5,170000.0,1.55,1,0,1,0.68
1.0,80000.0,54324.12,4.0,58.0,1,4.0,6.0,6.0,91870.0,144000.0,1.15,1,0,1,1.8
1.0,120000.0,81486.22,5.0,36.0,1,2.0,5.0,5.0,211352.0,275000.0,1.76,1,0,0,2.2916666666666665
0.0,82014.56,82014.56,2.0,51.0,1,4.0,23.0,2.0,465409.0,100000.0,5.67,1,0,1,1.2192956957886503
1.0,200000.0,122327.49,6.0,35.0,0,0.0,8.0,6.0,261593.0,250000.0,1.31,0,1,0,1.25
0.0,138915.55,107930.55,6.0,37.0,0,2.0,12.0,19.0,290090.0,280000.0,2.09,0,1,1,2.0156130829126044
1.0,80000.0,44566.79,4.0,36.0,1,3.0,8.0,8.0,159945.0,34500.0,2.0,0,1,1,0.43125
0.0,31652.25,14955.99,1.0,40.0,0,5.0,21.0,15.0,283503.24,120000.0,8.96,1,0,1,3.7911996777480272
1.0,130000.0,74509.1,4.0,33.0,0,3.0,4.0,4.0,196563.88,21666.67,1.51,1,0,1,0.1666666923076923
1.0,150000.0,150000.0,1.0,30.0,0,1.0,3.0,4.0,153047.17,70325.0,2.2409820585457982,1,0,1,0.4688333333333333
1.0,300000.0,186700.22,11.0,44.0,0,1.0,10.0,12.0,637849.88,350000.0,2.13,1,0,0,1.1666666666666667
1.0,80000.0,61105.34,3.0,45.0,0,2.0,9.0,9.0,110470.81,250833.33,1.38,1,0,0,3.135416625
0.0,50000.0,7540.45,1.0,33.0,0,3.0,6.0,2.0,56975.86,45000.0,1.14,1,0,0,0.9
1.0,100000.0,82718.61,2.0,45.0,0,1.0,4.0,4.0,155841.34,30000.0,1.56,1,0,1,0.3
0.0,60000.0,18438.74,2.0,36.0,0,3.0,4.0,3.0,281170.25,69750.04,4.69,1,0,0,1.1625006666666666
0.0,39124.12,39124.12,1.0,25.0,1,3.0,10.0,2.0,235024.59,195000.0,6.01,1,0,0,4.984137662393429
0.0,70000.0,61763.57,1.0,27.0,1,1.0,3.0,4.0,153047.17,70325.0,2.2409820585457982,0,1,0,1.0046428571428572
0.0,42034.37,32515.79,1.0,36.0,0,4.0,5.0,8.0,193355.91,273833.33,4.6,1,0,1,6.514510149670377
1.0,120000.0,16081.24,2.0,48.0,1,3.0,3.0,3.0,368302.41,84000.0,3.07,1,0,1,0.7
0.0,50000.0,13538.44,1.0,39.0,0,4.0,19.0,5.0,274365.2,150000.0,5.49,1,0,1,3.0
1.0,150000.0,85430.74,5.0,46.0,1,1.0,30.0,6.0,186415.65,464556.39,1.24,1,0,0,3.0970426
0.0,96901.6,57771.77,1.0,38.0,0,1.0,12.0,5.0,160673.4,270750.0,1.66,1,0,0,2.7940715117191046
1.0,150000.0,127379.47,3.0,32.0,1,0.0,31.0,11.0,501147.94,186000.0,3.34,1,0,0,1.24
1.0,130000.0,114840.34,2.0,46.0,0,1.0,1.5,9.0,999535.75,115800.0,7.69,1,0,0,0.8907692307692308
